forecast_run_initialized_utc,forecast_available_utc,forecast_valid_utc,forecast_horizon_h,model_lead_h,target_region,target_name,target_lat,target_lon,forecast_model,forecast_source,forecast_source_timezone,availability_delay_assumption_h,temperature_2m_forecast,relative_humidity_2m_forecast,precipitation_forecast,surface_pressure_forecast,wind_speed_10m_forecast,wind_direction_10m_forecast,boundary_layer_height_forecast,dew_point_2m_forecast,vapour_pressure_deficit_forecast,cloud_cover_forecast,cloud_cover_low_forecast,shortwave_radiation_forecast,wind_gusts_10m_forecast,wind_speed_100m_forecast,wind_direction_100m_forecast
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 07:00:00+00:00,1,7,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.3,76,0.1,1002.5,19.8,262,855.0,23.7,0.92,100,22,526.0,46.1,29.4,260
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 12:00:00+00:00,6,12,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.5,88,0.0,1004.0,13.2,277,395.0,23.4,0.38,100,11,0.0,31.3,25.0,271
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 18:00:00+00:00,12,18,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.7,86,0.0,1004.4,13.5,256,445.0,22.2,0.43,100,15,0.0,26.3,25.7,255
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-16 06:00:00+00:00,24,30,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,27.0,83,0.5,1004.0,17.5,268,680.0,23.8,0.62,100,45,468.0,54.7,25.8,265
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-17 06:00:00+00:00,48,54,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,30.5,70,0.0,1002.1,18.7,272,1355.0,24.3,1.32,100,100,834.0,44.3,26.3,272
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 07:00:00+00:00,1,7,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,29.0,74,0.5,1007.2,14.0,258,900.0,23.8,1.05,100,16,483.0,39.2,21.7,258
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 12:00:00+00:00,6,12,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,26.6,84,0.0,1009.0,11.4,265,525.0,23.7,0.55,100,10,0.0,27.0,22.0,259
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 18:00:00+00:00,12,18,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.4,85,0.0,1009.3,12.5,252,455.0,22.6,0.5,100,5,0.0,27.4,25.3,250
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-16 06:00:00+00:00,24,30,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,27.1,83,5.0,1009.0,15.6,263,530.0,23.9,0.61,100,41,542.0,39.6,24.5,267
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-17 06:00:00+00:00,48,54,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,29.9,73,0.2,1007.0,10.1,286,1105.0,24.6,1.13,100,100,728.0,37.8,15.7,281
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 07:00:00+00:00,1,7,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,29.1,74,0.2,1006.0,16.2,271,920.0,23.9,1.06,100,20,519.0,41.0,23.2,267
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 12:00:00+00:00,6,12,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,26.7,84,0.0,1007.8,12.4,261,495.0,23.8,0.54,100,7,0.0,27.7,21.5,258
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-15 18:00:00+00:00,12,18,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.3,86,0.0,1008.0,14.4,248,440.0,22.7,0.47,100,2,0.0,30.2,25.9,248
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-16 06:00:00+00:00,24,30,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,27.5,78,2.8,1007.7,20.7,273,590.0,23.4,0.79,100,52,587.0,49.0,30.2,274
2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,2024-03-17 06:00:00+00:00,48,54,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.8,79,0.2,1006.0,13.5,282,855.0,24.8,0.83,100,78,681.0,42.5,18.9,281
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-15 19:00:00+00:00,1,7,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.9,89,0.1,1009.5,12.4,246,405.0,23.0,0.35,64,0,0.0,28.4,25.0,242
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 00:00:00+00:00,6,12,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.4,91,0.0,1011.0,9.8,257,325.0,22.9,0.27,99,1,51.0,22.3,20.3,252
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 06:00:00+00:00,12,18,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.1,79,0.2,1008.9,12.6,270,805.0,24.1,0.79,100,15,486.0,40.0,19.8,269
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 18:00:00+00:00,24,30,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.8,92,0.0,1009.7,10.4,268,385.0,23.4,0.25,100,13,0.0,24.5,21.2,263
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-17 18:00:00+00:00,48,54,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.6,90,0.0,1008.3,12.9,264,460.0,22.8,0.32,63,7,0.0,28.8,26.1,257
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-15 19:00:00+00:00,1,7,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.9,89,0.0,1008.8,12.7,243,380.0,23.0,0.33,87,0,0.0,28.4,23.5,242
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 00:00:00+00:00,6,12,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.6,90,0.0,1010.5,8.7,276,335.0,22.9,0.3,100,28,56.0,23.4,15.5,261
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 06:00:00+00:00,12,18,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.2,77,0.3,1008.3,17.0,275,890.0,23.7,0.89,100,14,511.0,43.6,24.7,273
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 18:00:00+00:00,24,30,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.8,92,0.1,1009.1,11.0,269,375.0,23.4,0.25,100,10,0.0,23.8,19.7,264
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-17 18:00:00+00:00,48,54,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.6,90,0.0,1007.6,15.3,255,440.0,22.8,0.31,50,2,0.0,32.8,27.5,253
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-15 19:00:00+00:00,1,7,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.3,91,0.1,1004.2,14.2,254,400.0,22.8,0.26,52,9,0.0,28.1,26.9,255
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 00:00:00+00:00,6,12,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.3,91,0.3,1005.5,12.3,263,395.0,22.6,0.29,100,6,36.0,29.2,23.7,261
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 06:00:00+00:00,12,18,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.2,75,0.3,1003.6,18.2,272,830.0,23.5,0.94,100,19,623.0,45.7,26.5,271
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 18:00:00+00:00,24,30,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.6,91,0.0,1004.2,12.2,271,395.0,23.0,0.27,100,23,0.0,26.6,23.5,266
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-17 18:00:00+00:00,48,54,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.0,93,0.0,1003.0,12.8,260,325.0,22.7,0.22,26,7,0.0,24.8,24.6,263
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-15 19:00:00+00:00,1,7,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.2,88,0.0,1009.0,11.4,246,410.0,23.0,0.39,64,0,0.0,27.7,23.5,247
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 00:00:00+00:00,6,12,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.6,90,0.1,1010.5,8.1,257,345.0,22.9,0.31,99,9,54.0,20.5,17.6,255
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 06:00:00+00:00,12,18,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.3,78,0.8,1008.4,14.0,271,850.0,24.0,0.86,100,21,540.0,42.8,22.1,271
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 18:00:00+00:00,24,30,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.1,91,0.0,1009.2,9.9,266,415.0,23.4,0.3,100,11,0.0,23.0,20.2,265
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-17 18:00:00+00:00,48,54,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.9,89,0.0,1007.8,11.9,259,465.0,22.9,0.36,65,5,0.0,27.4,24.5,257
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-15 19:00:00+00:00,1,7,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.1,88,0.0,1007.7,13.5,245,410.0,23.1,0.37,74,0,0.0,29.5,24.0,245
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 00:00:00+00:00,6,12,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.8,89,0.0,1009.4,8.6,278,360.0,22.9,0.34,100,26,59.0,22.0,15.2,265
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 06:00:00+00:00,12,18,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.3,76,0.4,1007.1,18.6,276,880.0,23.7,0.92,100,13,547.0,49.7,26.9,274
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-16 18:00:00+00:00,24,30,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.0,91,0.0,1008.0,11.4,274,395.0,23.5,0.28,100,4,0.0,23.8,19.8,269
2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2024-03-17 18:00:00+00:00,48,54,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.9,88,0.0,1006.5,15.2,256,475.0,22.9,0.36,50,3,0.0,32.4,26.8,255
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 07:00:00+00:00,1,7,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.7,78,1.9,1008.4,10.2,249,860.0,24.6,0.85,98,5,623.0,39.6,15.8,255
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 12:00:00+00:00,6,12,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.9,88,0.0,1009.5,11.0,264,500.0,23.8,0.39,22,1,0.0,25.9,22.1,257
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 18:00:00+00:00,12,18,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.9,91,0.0,1009.6,11.0,266,400.0,23.3,0.3,100,4,0.0,24.1,22.5,260
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-17 06:00:00+00:00,24,30,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.0,78,3.2,1007.9,16.9,261,610.0,23.8,0.83,74,42,760.0,45.0,26.5,266
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-18 06:00:00+00:00,48,54,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,30.8,69,0.0,1007.2,9.7,270,1190.0,24.4,1.38,100,100,770.0,32.4,14.4,274
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 07:00:00+00:00,1,7,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.6,74,6.3,1007.9,13.3,267,825.0,23.5,1.01,97,13,682.0,44.6,19.2,264
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 12:00:00+00:00,6,12,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.9,89,0.0,1009.0,11.7,255,470.0,24.0,0.36,39,2,0.0,26.3,20.8,254
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 18:00:00+00:00,12,18,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.9,91,0.0,1009.0,11.5,261,385.0,23.3,0.3,100,7,0.0,25.9,20.6,258
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-17 06:00:00+00:00,24,30,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.6,71,1.1,1007.3,17.7,272,770.0,22.9,1.12,59,38,782.0,46.8,26.1,273
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-18 06:00:00+00:00,48,54,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,30.0,72,0.0,1006.7,13.5,308,1025.0,24.3,1.2,100,100,827.0,38.5,18.5,300
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 07:00:00+00:00,1,7,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,27.5,82,0.1,1003.1,15.9,273,680.0,24.1,0.68,100,6,406.0,36.7,23.8,271
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 12:00:00+00:00,6,12,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.6,87,0.0,1004.1,14.2,266,505.0,23.3,0.41,41,5,0.0,30.6,26.0,266
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 18:00:00+00:00,12,18,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.8,89,0.0,1004.1,13.7,266,475.0,22.9,0.34,100,11,0.0,27.4,25.9,264
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-17 06:00:00+00:00,24,30,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.5,75,5.3,1002.5,22.6,279,675.0,23.6,0.97,96,69,803.0,51.5,32.2,276
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-18 06:00:00+00:00,48,54,jakarta_selatan,Jagakarsa,-6.3255,106.8144,ecmwf_ifs,open_meteo_single_runs,UTC,6,30.3,69,0.0,1001.9,16.0,278,1240.0,24.1,1.32,100,100,914.0,39.6,22.2,276
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 07:00:00+00:00,1,7,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.4,78,4.1,1008.0,9.6,261,720.0,24.3,0.83,100,1,608.0,41.4,15.6,263
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 12:00:00+00:00,6,12,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,26.3,86,0.0,1009.0,11.0,269,545.0,23.8,0.46,23,1,0.0,25.9,21.1,262
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 18:00:00+00:00,12,18,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.2,89,0.0,1009.1,10.7,265,440.0,23.3,0.35,100,6,0.0,23.4,21.6,262
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-17 06:00:00+00:00,24,30,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.8,72,1.6,1007.4,18.4,273,680.0,23.3,1.09,76,61,756.0,44.6,28.0,275
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-18 06:00:00+00:00,48,54,jakarta_timur,Jatinegara,-6.212,106.883,ecmwf_ifs,open_meteo_single_runs,UTC,6,31.0,68,0.0,1006.7,9.9,280,1265.0,24.3,1.44,100,100,854.0,30.2,15.0,280
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 07:00:00+00:00,1,7,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.2,77,2.1,1006.8,15.5,271,690.0,23.7,0.89,97,24,661.0,48.2,22.5,269
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 12:00:00+00:00,6,12,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,26.1,88,0.0,1007.8,12.9,261,510.0,24.0,0.4,37,4,0.0,28.4,22.3,260
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-16 18:00:00+00:00,12,18,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.1,89,0.0,1007.9,12.0,261,420.0,23.3,0.33,100,6,0.0,27.0,21.4,260
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-17 06:00:00+00:00,24,30,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,28.9,71,0.3,1006.2,19.1,281,810.0,23.2,1.14,68,56,793.0,48.6,27.3,280
2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,2024-03-18 06:00:00+00:00,48,54,jakarta_utara,Kelapa Gading,-6.1553,106.8923,ecmwf_ifs,open_meteo_single_runs,UTC,6,30.0,72,0.0,1005.7,14.1,305,1000.0,24.4,1.18,100,100,909.0,39.6,19.0,299
2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,2024-03-16 19:00:00+00:00,1,7,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.6,93,0.0,1009.0,9.0,272,375.0,23.4,0.21,100,12,0.0,24.8,19.2,264
2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,2024-03-17 00:00:00+00:00,6,12,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.6,92,0.1,1010.1,9.4,275,385.0,23.2,0.25,100,12,54.0,22.3,16.0,269
2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,2024-03-17 06:00:00+00:00,12,18,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,27.8,78,1.0,1007.5,15.0,265,630.0,23.6,0.81,82,36,278.0,36.4,24.5,271
2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,2024-03-17 18:00:00+00:00,24,30,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.4,85,0.0,1008.5,13.5,266,570.0,22.6,0.5,31,5,0.0,30.6,27.0,260
2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,2024-03-18 18:00:00+00:00,48,54,jakarta_barat,Kebon Jeruk,-6.1949,106.7645,ecmwf_ifs,open_meteo_single_runs,UTC,6,25.4,87,0.0,1008.8,7.6,263,340.0,23.0,0.43,2,0,0.0,16.6,19.3,258
2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,2024-03-16 19:00:00+00:00,1,7,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.6,93,0.0,1008.4,11.2,259,380.0,23.4,0.21,100,15,0.0,24.5,20.2,259
2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,2024-03-17 00:00:00+00:00,6,12,jakarta_pusat,Bunderan HI / US Embassy,-6.182536,106.828236,ecmwf_ifs,open_meteo_single_runs,UTC,6,24.5,92,0.1,1009.5,9.4,258,425.0,23.1,0.26,100,20,55.0,22.7,15.3,258
